iteration,best_accuracy
1,0.9508196721311476
2,0.9699453551912569
3,0.9699453551912569
4,0.9699453551912569
5,0.9726775956284154
6,0.9726775956284154
7,0.9726775956284154
8,0.9726775956284154
9,0.9726775956284154
10,0.9726775956284154
11,0.9726775956284154
12,0.9726775956284154
13,0.9726775956284154
14,0.9726775956284154
15,0.9726775956284154
16,0.9726775956284154
17,0.9726775956284154
18,0.9726775956284154
19,0.9726775956284154
20,0.9726775956284154
21,0.9726775956284154
22,0.9726775956284154
23,0.9726775956284154
24,0.9726775956284154
25,0.9726775956284154
