iteration,best_accuracy
1,0.9371584699453552
2,0.9371584699453552
3,0.9426229508196723
4,0.9426229508196723
5,0.9426229508196723
6,0.9426229508196723
7,0.9426229508196723
8,0.9426229508196723
9,0.9426229508196723
10,0.9426229508196723
11,0.9426229508196723
12,0.9426229508196723
13,0.9426229508196723
14,0.9508196721311476
15,0.9508196721311476
16,0.9508196721311476
17,0.9508196721311476
18,0.9508196721311476
19,0.9508196721311476
20,0.9508196721311476
21,0.9508196721311476
22,0.9508196721311476
23,0.9508196721311476
24,0.9508196721311476
25,0.9508196721311476
