iteration,best_accuracy
1,0.6106194690265487
2,0.6194690265486725
3,0.6349557522123894
4,0.6349557522123894
5,0.6349557522123894
6,0.6349557522123894
7,0.6349557522123894
8,0.6349557522123894
9,0.6349557522123894
10,0.6349557522123894
11,0.6349557522123894
12,0.6349557522123894
13,0.6349557522123894
14,0.6349557522123894
15,0.6349557522123894
16,0.6349557522123894
17,0.6349557522123894
18,0.6349557522123894
19,0.6349557522123894
20,0.6349557522123894
21,0.6349557522123894
22,0.6349557522123894
23,0.6349557522123894
24,0.6349557522123894
25,0.6349557522123894
