iteration,best_accuracy
1,0.6306401766004415
2,0.6306401766004415
3,0.6306401766004415
4,0.6306401766004415
5,0.6306401766004415
6,0.6306401766004415
7,0.6306401766004415
8,0.6306401766004415
9,0.6306401766004415
10,0.6306401766004415
11,0.6306401766004415
12,0.6327593818984547
13,0.6327593818984547
14,0.6327593818984547
15,0.6371891096394408
16,0.6371891096394408
17,0.6371891096394408
18,0.6371891096394408
19,0.6371891096394408
20,0.6371891096394408
21,0.6371891096394408
22,0.6371891096394408
23,0.6371891096394408
24,0.6371891096394408
25,0.6371891096394408
