iteration,best_accuracy
1,0.7186761229314421
2,0.7186761229314421
3,0.7186761229314421
4,0.7281323877068558
5,0.7281323877068558
6,0.7281323877068558
7,0.7281323877068558
8,0.7281323877068558
9,0.7281323877068558
10,0.7281323877068558
11,0.7281323877068558
12,0.7281323877068558
13,0.7281323877068558
14,0.7281323877068558
15,0.7281323877068558
16,0.7281323877068558
17,0.7281323877068558
18,0.7281323877068558
19,0.7281323877068558
20,0.7281323877068558
21,0.7281323877068558
22,0.7281323877068558
23,0.7281323877068558
24,0.7281323877068558
25,0.7281323877068558
