iteration,best_accuracy
1,0.6962174940898346
2,0.6962174940898346
3,0.6962174940898346
4,0.6962174940898346
5,0.6962174940898346
6,0.6973995271867612
7,0.6973995271867612
8,0.6973995271867612
9,0.7021276595744682
10,0.7080378250591016
11,0.7080378250591016
12,0.7080378250591016
13,0.7080378250591016
14,0.7080378250591016
15,0.7080378250591016
16,0.7080378250591016
17,0.7080378250591016
18,0.7080378250591016
19,0.7080378250591016
20,0.7080378250591016
21,0.7080378250591016
22,0.7080378250591016
23,0.7080378250591016
24,0.7080378250591016
25,0.710401891252955
