iteration,best_accuracy
1,0.8055555555555555
2,0.8214285714285715
3,0.8214285714285715
4,0.8214285714285715
5,0.8214285714285715
6,0.8214285714285715
7,0.8214285714285715
8,0.8214285714285715
9,0.8214285714285715
10,0.8214285714285715
11,0.8373015873015873
12,0.8373015873015873
13,0.8373015873015873
14,0.8373015873015873
15,0.8373015873015873
16,0.8373015873015873
17,0.8373015873015873
18,0.8373015873015873
19,0.8373015873015873
20,0.8373015873015873
21,0.8373015873015873
22,0.8373015873015873
23,0.8373015873015873
24,0.8373015873015873
25,0.8373015873015873
