iteration,best_accuracy
1,0.7912698412698412
2,0.7912698412698412
3,0.8079365079365078
4,0.8087301587301589
5,0.8087301587301589
6,0.8087301587301589
7,0.8087301587301589
8,0.8087301587301589
9,0.8087301587301589
10,0.8087301587301589
11,0.8087301587301589
12,0.8087301587301589
13,0.8087301587301589
14,0.8087301587301589
15,0.8087301587301589
16,0.8087301587301589
17,0.8238095238095239
18,0.8238095238095239
19,0.8238095238095239
20,0.8238095238095239
21,0.8238095238095239
22,0.8238095238095239
23,0.8238095238095239
24,0.8238095238095239
25,0.8238095238095239
